No,Senyawa,Symbol,Ar
1,Hidrogen,H,1.00794
2,Helium,He,4.002602
3,Litium,Li,6.941
4,Berilium,Be,9.012182
5,Boron,B,10.811
6,Karbon,C,12.0107
7,Nitrogen,N,14.0067
8,Oksigen,O,15.9994
9,Fluorin,F,18.9984032
10,Neon,Ne,20.1797
11,Natrium,Na,22.9898
12,Magnesium,Mg,24.305
13,Aluminium,Al,26.98153
14,Silikon,Si,28.0855
15,Fosfor,P,30.973762
16,Belerang,S,32.065
17,Klorin,Cl,35.453
18,Argon,Ar,39.948
19,Kalium,K,39.0983
20,Kalsium,Ca,40.078
21,Skandium,Sc,44.955912
22,Titanium,Ti,47.867
23,Vanadium,V,50.9415
24,Kromium,Cr,51.9961
25,Mangan,Mn,54.938045
26,Besi,Fe,55.845
27,Kobalt,Co,58.9332
28,Nikel,Ni,58.6934
29,Tembaga,Cu,63.546
30,Seng,Zn,65.38
31,Galium,Ga,69.723
32,Germanium,Ge,72.64
33,Arsen,As,74.9216
34,Selenium,Se,78.96
35,Bromin,Br,79.904
36,Kripton,Kr,83.798
37,Rubidium,Rb,85.4678
38,Stronsium,Sr,87.62
39,Itrium,Y,88.906
40,Zirkonium,Zr,91.224
41,Niobium,Nb,92.90638
42,Molibdenum,Mo,95.96
43,Teknesium,Tc,96.906
44,Rutenium,Ru,101.07
45,Rodium,Rh,102.9055
46,Paladium,Pd,106.42
47,Perak,Ag,107.8682
48,Kadmium,Cd,112.411
49,Indium,In,114.818
50,Timah,Sn,118.71
51,Antimon,Sb,121.76
52,Telurium,Te,127.6
53,Iodin,I,126.90447
54,Xenon,Xe,131.293
55,Sesium,Cs,132.905451
56,Barium,Ba,137.327
57,Lantanum,La,138.90547
58,Serium,Ce,140.116
59,Praseodimium,Pr,140.90765
60,Neodimium,Nd,144.242
61,Prometium,Pm,144.91
62,Samarium,Sm,150.36
63,Europium,Eu,151.964
64,Gadolinium,Gd,157.25
65,Terbium,Tb,158.92535
66,Disprosium,Dy,162.5
67,Holmium,Ho,164.93032
68,Erbium,Er,167.259
69,Tulium,Tm,168.93421
70,Iterbium,Yb,173.054
71,Lutesium,Lu,174.9668
72,Hafnium,Hf,178.49
73,Tantalum,Ta,180.94788
74,Wolfram,W,183.84
75,Renium,Re,186.207
76,Osmium,Os,190.23
77,Iridium,Ir,192.217
78,Platina,Pt,195.966569
79,Emas,Au,200.59
80,Raksa,Hg,204.3833
81,Talium,Tl,204.3833
82,Timbal,Pb,207.2
83,Bismut,Bi,208.9804
84,Polonium,Po,208.98
85,Astatin,At,209.99
86,Radon,Rn,222.02
87,Fransium,Fr,223.02
88,Radium,Ra,226.03
89,Aktinium,Ac,227.03
90,Torium,Th,232.03806
91,Protaktinium,Pa,231.03588
92,Uranium,U,238.02891
93,Neptunium,Np,237.05
94,Plutonium,Pu,244.06
95,Amerisium,Am,243.06
96,Kurium,Cm,247.07
97,Berkelium,Bk,247.07
98,Kalifornium,Cf,251.08
99,Einsteinium,Es,252.08
100,Fermium,Fm,257.1
101,Mendelevium,Md,258.1
102,Nobelium,No,259.1
103,Lawrensium,Lr,262.11
104,Ruterfordium,Rf,267.12
105,Dubnium,Db,270.13
106,Seaborgium,Sg,269.13
107,Bohrium,Bh,270.13
108,Hasium,Hs,270.13
109,Meitenerium,Mt,278.16
110,Darmstadtium,Ds,281.17
111,Roentgenium,Rg,281.17
112,Kopernisium,Cn,285.18
113,Nihonium,Nh,286.18
114,Flerovium,Fl,289.19
115,Moskovium,Mc,289.2
116,Livermorium,Lv,293.2
117,Tenesin,Ts,293.21
118,Oganeson,Og,294.21
